---------------------------------------
Time Duty_cycle X X_dot Theta Theta_dot
-0.02481159548444444 1601426737498 -0.55101794482381 0 0.0 -0.0003211453155555176 -0.002554140325203248 
-0.02481159548444444 1601426737585 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737644 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737706 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737748 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737774 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737830 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737852 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737887 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737925 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426737972 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738005 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738039 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738113 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738135 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738169 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738216 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738246 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738306 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738351 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738418 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738463 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738517 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738562 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738587 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738607 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738635 0.13388694595200124 0 0.0 -0.00014661239333345344 0.003116659325393941 
-0.02481159548444444 1601426738670 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738703 -0.5591447549492368 0 0.0 -0.0003211453155555176 -0.002644438215485768 
-0.02481159548444444 1601426738734 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738755 11.198027551110803 0 0.0 0.003344046051111039 0.08726646111110849 
-0.02481159548444444 1601426738786 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738814 -6.21163144055534 0 0.0 -0.0003211453155555176 -0.06544984583333137 
-0.02481159548444444 1601426738858 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738894 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738919 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738952 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426738977 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426739007 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426739047 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426739098 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426739151 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426739208 6.2376181826899 0 0.0 0.003344046051111039 0.03215080146198734 
-0.02481159548444444 1601426739261 -0.3211453155555176 0 0.0 -0.0003211453155555176 0.0 
-0.02481159548444444 1601426739304 -4.156810699276333 0 0.0 -0.0003211453155555176 -0.042618504263564616 
-0.02481159548444444 1601426739341 -8.057199165405482 0 0.0 -0.0038118037600000133 -0.047171060060060756 
-0.02481159548444444 1601426739400 -51.083602016120665 0 0.0 -0.029119077482222283 -0.24405027259887088 
-0.02481159548444444 1601426739434 -120.60512865411746 0 0.0 -0.05407728535999993 -0.7391982588235283 
-0.02481159548444444 1601426739482 -0.3756868537497695 0 0.0 -0.014283779093333247 0.1545343582175942 
-0.02481159548444444 1601426739522 -8.458742814167007 0 0.0 -0.032609735926666786 0.2683443679166642 
-0.02481159548444444 1601426739574 132.54875453081175 0 0.0 0.06443056882888881 0.756868730021366 
-0.02481159548444444 1601426739619 168.45219047333342 0 0.0 0.0679212272733333 1.1170107022222233 
