---------------------------------------
Time Duty_cycle X X_dot Theta Theta_dot
1616789688001 0.0 0.0 -9.133333193911408e-09 -0.0005521960743107132 -0.04142931890641375 0.0 
1616789688020 0.0 0.0 -9.133333193911408e-09 -0.0003865372520174992 -0.0290049072344227 0.0 
1616789688030 0.0 0.0 -9.133333193911408e-09 -0.00027057607641224943 -0.020307819064028964 0.0 
1616789688060 0.0 0.0 -9.133333193911408e-09 -0.0001894032534885746 -0.014219857344753353 0.0 
1616789688069 0.0 0.0 -9.133333193911408e-09 -0.00013258227744200222 -0.009958284141260425 0.0 
1616789688081 0.0 0.0 -9.133333193911408e-09 -9.280759420940155e-05 -0.0069751828988153745 0.0 
1616789688090 0.0 0.0 -9.133333193911408e-09 -6.496531594658108e-05 -0.00488701202910384 0.0 
1616789688105 0.0 0.0 -9.133333193911408e-09 -4.547572116260676e-05 -0.003425292420305765 0.0 
1616789688112 0.0 0.0 -9.133333193911408e-09 -3.183300481382473e-05 -0.002402088694147113 0.0 
1616789688128 0.0 0.0 -9.133333193911408e-09 -2.228310336967731e-05 -0.0016858460858360565 0.0 
1616789688142 0.0 0.0 -9.133333193911408e-09 -1.5598172358774116e-05 -0.001184476260018317 0.0 
1616789688153 0.0 0.0 -9.133333193911408e-09 -1.0918720651141881e-05 -0.0008335173819458994 0.0 
1616789688165 0.0 0.0 -9.133333193911408e-09 -7.643104455799316e-06 -0.0005878461672952069 0.0 
1616789688182 0.0 0.0 -9.133333193911408e-09 -5.350173119059521e-06 -0.0004158763170397223 0.0 
1616789688193 0.0 0.0 -9.133333193911408e-09 -3.745121183341664e-06 -0.00029549742186088307 -0.35 
1616789688204 0.0 0.0 -9.133333193911408e-09 -2.6215848283391647e-06 -0.0002112321952356956 0.0 
1616789688217 0.0 0.0 -9.133333193911408e-09 -1.8351093798374151e-06 -0.00015224653659806438 0.0 
1616789688230 0.0 0.0 -9.133333193911408e-09 -1.2845765658861906e-06 -0.00011095657555172255 0.0 
1616789688240 0.0 0.0 -9.133333193911408e-09 -8.992035961203333e-07 -8.205360281928326e-05 0.0 
1616789688253 0.0 0.0 -9.133333193911408e-09 -6.294425172842333e-07 -6.182152190657575e-05 0.0 
1616789688278 0.0 0.0 -9.133333193911408e-09 -4.4060976209896326e-07 -4.76590652676805e-05 0.0 
1616789688292 0.0 0.0 -9.133333193911408e-09 -3.0842683346927427e-07 -3.774534562045382e-05 0.0 
1616789688305 0.0 0.0 -9.133333193911408e-09 -2.1589878342849197e-07 -3.080574186739515e-05 0.0 
1616789688318 0.0 0.0 -9.133333193911408e-09 -1.5112914839994438e-07 -2.594801924025408e-05 0.0 
1616789688332 0.0 0.0 -9.133333193911408e-09 -1.0579040387996105e-07 -2.2547613401255333e-05 0.0 
1616789688346 0.0 0.0 -9.133333193911408e-09 -7.405328271597273e-08 -2.016732931395621e-05 0.0 
1616789688363 0.0 0.0 -9.133333193911408e-09 -5.1837297901180906e-08 -1.850113045284682e-05 0.0 
1616789688374 0.0 0.0 -9.133333193911408e-09 -3.6286108530826634e-08 -1.733479125007025e-05 0.0 
1616789688389 0.0 0.0 -9.133333193911408e-09 -2.540027597157864e-08 -1.651835380812665e-05 0.0 
1616789688398 0.0 0.0 -9.133333193911408e-09 -1.778019318010505e-08 -1.5946847598766133e-05 0.0 
1616789688411 0.0 0.0 -9.133333193911408e-09 -1.2446135226073533e-08 -1.554679325221377e-05 0.0 
1616789688421 0.0 0.0 -9.133333193911408e-09 -8.712294658251473e-09 -1.5266755209627113e-05 0.0 
1616789688440 0.0 0.0 -9.133333193911408e-09 -6.098606260776031e-09 -1.5070728579816456e-05 -0.35 
1616789688449 0.0 0.0 -9.133333193911408e-09 -4.269024382543221e-09 -1.4933509938948995e-05 0.0 
1616789688467 0.0 0.0 -9.133333193911408e-09 -2.988317067780255e-09 -1.4837456890341772e-05 0.0 
